material_number,product_name,category,unit_of_measure,brand,last_changed_on
SKU-100,Classic Cotton T-Shirt,APPAREL,EA,RetailCo Basics,2026-06-01T00:00:00
SKU-101,Slim Fit Jeans,APPAREL,EA,RetailCo Denim,2026-06-01T00:00:00
SKU-102,Stainless Steel Cookware Set,HOME,SET,Hearth & Home,2026-06-02T00:00:00
SKU-103,Wireless Earbuds,ELECTRONICS,EA,SoundWave,2026-06-02T00:00:00
SKU-104,Bath Towel Set,HOME,SET,Hearth & Home,2026-06-03T00:00:00
SKU-105,4K Smart TV 55in,ELECTRONICS,EA,VisionMax,2026-06-03T00:00:00
SKU-106,Running Socks 3-Pack,APPAREL,PACK,RetailCo Basics,2026-06-04T00:00:00
SKU-107,Ceramic Dinner Set,HOME,SET,Hearth & Home,2026-06-04T00:00:00
SKU-108,Bluetooth Speaker,ELECTRONICS,EA,SoundWave,2026-06-05T00:00:00
SKU-109,Winter Jacket,APPAREL,EA,RetailCo Outdoor,2026-06-05T00:00:00
SKU-110,Non-Stick Frying Pan,HOME,EA,Hearth & Home,2026-06-06T00:00:00
SKU-111,Laptop Backpack,ACCESSORIES,EA,TrailPack,2026-06-06T00:00:00
SKU-112,Yoga Mat,SPORTS,EA,FlexFit,2026-06-07T00:00:00
SKU-100,Classic Cotton T-Shirt,APPAREL,EA,RetailCo Basics,2026-06-01T00:00:00
